industry,region,company_size,company_revenue,contact_role,seniority,lead_source,opportunity_created,demo_completed,expected_acv,inbound_touches,outbound_touches,touches_week_1,touches_last_7_days,days_since_first_touch,web_sessions,sales_activities,days_since_last_touch,acquisition_wave,converted,__leakage__touches_post_snapshot_21_90
manufacturing,US,200-499,$10M-$50M,procurement_manager,manager,inbound_marketing,1,0,,28,0,17,5,20.0,5,4,0.0,C,0,173
logistics,US,1000-1999,$1M-$10M,ap_manager,director,inbound_marketing,0,0,25000.0,16,0,5,4,19.0,3,2,0.0,B,0,214
manufacturing,UK,2000+,$1M-$10M,vp_finance,vp,sdr_outbound,0,0,25000.0,0,6,2,1,19.0,2,0,0.0,B,0,138
healthcare_non_clinical,UK,500-999,$10M-$50M,procurement_manager,individual_contributor,sdr_outbound,1,0,70197.0,0,16,8,1,20.0,3,5,3.0,A,0,101
professional_services,US,500-999,$10M-$50M,it_director,director,partner_referral,0,0,55000.0,0,19,13,4,20.0,6,2,0.0,A,0,146
professional_services,UK,1000-1999,$200M+,vp_finance,manager,sdr_outbound,1,1,119105.0,0,21,9,7,20.0,5,4,0.0,C,0,152
healthcare_non_clinical,US,200-499,$200M+,it_director,manager,inbound_marketing,1,0,119104.0,17,0,7,6,20.0,3,0,1.0,C,0,2
healthcare_non_clinical,UK,500-999,$50M-$200M,procurement_manager,manager,sdr_outbound,1,0,85000.0,0,20,14,4,,3,4,0.0,C,0,96
healthcare_non_clinical,US,200-499,$10M-$50M,procurement_manager,manager,sdr_outbound,1,0,55000.0,0,19,13,1,20.0,1,4,,C,0,39
healthcare_non_clinical,UK,200-499,$10M-$50M,procurement_manager,director,sdr_outbound,0,0,55000.0,0,18,7,2,19.0,7,4,1.0,B,0,192
healthcare_non_clinical,UK,2000+,$1M-$10M,ap_manager,c_suite,sdr_outbound,0,0,25000.0,0,12,9,0,20.0,3,1,10.0,B,0,0
healthcare_non_clinical,UK,200-499,$1M-$10M,procurement_manager,manager,sdr_outbound,0,0,25000.0,0,12,3,6,19.0,2,0,0.0,B,0,29
logistics,US,200-499,$10M-$50M,vp_finance,vp,inbound_marketing,0,0,55000.0,21,0,14,4,20.0,2,1,1.0,B,0,0
manufacturing,US,500-999,$50M-$200M,vp_finance,director,partner_referral,0,0,85000.0,0,25,11,8,20.0,7,4,0.0,A,0,125
manufacturing,UK,500-999,$1M-$10M,ap_manager,,partner_referral,1,0,65601.0,0,22,14,4,20.0,4,2,2.0,B,0,185
healthcare_non_clinical,UK,200-499,$10M-$50M,ap_manager,director,sdr_outbound,0,0,55000.0,0,17,5,6,18.0,3,1,0.0,C,0,64
logistics,US,200-499,$50M-$200M,vp_finance,individual_contributor,sdr_outbound,1,0,30035.0,0,23,9,6,19.0,5,0,1.0,C,0,159
healthcare_non_clinical,US,500-999,$50M-$200M,procurement_manager,manager,inbound_marketing,0,0,85000.0,18,0,9,4,20.0,3,5,1.0,B,0,6
professional_services,US,500-999,$1M-$10M,it_director,individual_contributor,sdr_outbound,1,0,25000.0,0,14,4,5,20.0,4,2,0.0,B,1,41
logistics,UK,200-499,$1M-$10M,vp_finance,manager,sdr_outbound,1,1,25754.0,0,23,11,6,19.0,3,4,0.0,B,0,168
manufacturing,UK,500-999,$200M+,vp_finance,c_suite,sdr_outbound,1,0,116983.0,0,21,9,9,20.0,4,4,2.0,A,0,0
manufacturing,UK,200-499,$1M-$10M,procurement_manager,director,inbound_marketing,1,0,25000.0,17,0,10,5,19.0,3,1,2.0,A,0,1
logistics,US,200-499,$50M-$200M,vp_finance,manager,sdr_outbound,0,0,85000.0,0,5,5,0,20.0,2,0,17.0,C,0,0
professional_services,US,1000-1999,$10M-$50M,it_director,vp,inbound_marketing,1,0,55000.0,17,0,9,6,18.0,6,3,0.0,B,1,154
manufacturing,US,500-999,$50M-$200M,procurement_manager,individual_contributor,inbound_marketing,1,0,44560.0,15,0,8,3,20.0,5,0,1.0,B,0,195
healthcare_non_clinical,US,200-499,$10M-$50M,it_director,director,partner_referral,1,0,48229.0,0,24,9,6,19.0,5,4,0.0,B,0,226
manufacturing,US,200-499,$50M-$200M,vp_finance,director,sdr_outbound,1,1,18000.0,0,26,10,8,20.0,6,5,0.0,A,0,196
healthcare_non_clinical,US,200-499,$10M-$50M,procurement_manager,manager,inbound_marketing,1,0,55000.0,25,0,10,8,20.0,2,3,0.0,B,1,24
healthcare_non_clinical,UK,200-499,$200M+,vp_finance,individual_contributor,sdr_outbound,1,0,116303.0,0,18,8,3,20.0,,5,1.0,B,0,63
logistics,US,200-499,$200M+,ap_manager,vp,inbound_marketing,1,0,118679.0,27,0,13,6,20.0,3,4,1.0,B,0,214
professional_services,US,1000-1999,$10M-$50M,it_director,director,partner_referral,1,0,55000.0,0,17,9,1,20.0,1,6,1.0,C,1,247
logistics,US,1000-1999,$1M-$10M,vp_finance,manager,inbound_marketing,1,0,25000.0,20,0,8,8,20.0,5,3,1.0,B,1,71
manufacturing,UK,200-499,$10M-$50M,ap_manager,director,partner_referral,0,0,55000.0,0,26,16,3,20.0,7,3,2.0,B,0,174
healthcare_non_clinical,UK,500-999,$10M-$50M,procurement_manager,vp,sdr_outbound,0,0,55000.0,0,15,5,3,19.0,6,0,0.0,B,0,199
professional_services,US,200-499,$1M-$10M,ap_manager,individual_contributor,sdr_outbound,0,0,25000.0,0,19,8,6,20.0,5,2,0.0,C,0,188
logistics,UK,200-499,$10M-$50M,procurement_manager,individual_contributor,inbound_marketing,1,1,55000.0,17,0,7,7,20.0,4,5,0.0,C,0,163
manufacturing,UK,200-499,$10M-$50M,ap_manager,individual_contributor,inbound_marketing,1,1,55000.0,15,0,9,0,20.0,4,3,7.0,A,0,0
professional_services,UK,500-999,$50M-$200M,it_director,director,inbound_marketing,0,0,85000.0,0,0,0,0,,0,0,,A,0,0
manufacturing,UK,2000+,$1M-$10M,it_director,vp,inbound_marketing,0,0,25000.0,11,0,2,3,19.0,1,0,1.0,A,0,140
manufacturing,US,500-999,$1M-$10M,ap_manager,,inbound_marketing,1,1,25000.0,18,0,8,5,20.0,4,5,1.0,B,1,88
healthcare_non_clinical,UK,1000-1999,$50M-$200M,vp_finance,individual_contributor,sdr_outbound,1,0,85000.0,0,14,4,5,19.0,3,6,0.0,A,0,83
professional_services,US,2000+,$10M-$50M,vp_finance,manager,inbound_marketing,1,1,55000.0,22,0,16,2,19.0,3,7,0.0,B,0,112
logistics,US,500-999,$10M-$50M,it_director,manager,partner_referral,0,0,55000.0,0,18,4,6,20.0,7,0,0.0,B,0,242
professional_services,UK,1000-1999,$50M-$200M,vp_finance,director,partner_referral,1,0,85000.0,0,18,8,4,20.0,5,3,0.0,A,1,141
manufacturing,UK,200-499,$10M-$50M,ap_manager,individual_contributor,inbound_marketing,1,1,55000.0,15,0,8,4,20.0,6,4,2.0,A,1,191
healthcare_non_clinical,US,200-499,$10M-$50M,vp_finance,individual_contributor,inbound_marketing,1,0,55000.0,22,0,10,8,20.0,3,3,1.0,B,0,110
logistics,UK,1000-1999,$50M-$200M,it_director,vp,inbound_marketing,1,0,85000.0,16,0,8,3,19.0,1,3,1.0,A,0,84
healthcare_non_clinical,UK,500-999,$1M-$10M,procurement_manager,manager,inbound_marketing,1,0,25000.0,26,0,13,8,19.0,5,0,2.0,A,0,21
manufacturing,US,500-999,$10M-$50M,it_director,director,inbound_marketing,1,0,,19,0,9,5,20.0,7,3,0.0,B,1,124
manufacturing,US,1000-1999,$50M-$200M,it_director,manager,inbound_marketing,1,0,85000.0,31,0,11,8,20.0,1,2,0.0,B,1,130
manufacturing,UK,500-999,$50M-$200M,procurement_manager,vp,inbound_marketing,1,0,85000.0,32,0,13,7,20.0,5,3,3.0,A,0,1
professional_services,UK,2000+,$10M-$50M,procurement_manager,individual_contributor,sdr_outbound,1,0,55000.0,0,17,7,4,20.0,2,3,0.0,A,1,233
healthcare_non_clinical,UK,200-499,$1M-$10M,vp_finance,manager,inbound_marketing,1,1,19467.0,17,0,8,5,20.0,5,6,0.0,B,0,209
logistics,UK,200-499,$50M-$200M,procurement_manager,individual_contributor,inbound_marketing,1,0,85000.0,15,0,5,5,19.0,2,2,2.0,A,1,132
logistics,US,500-999,$10M-$50M,ap_manager,vp,sdr_outbound,0,0,55000.0,0,21,8,7,20.0,3,0,0.0,A,1,177
professional_services,US,200-499,$10M-$50M,procurement_manager,vp,inbound_marketing,1,1,55000.0,16,0,5,6,19.0,6,4,1.0,C,0,85
professional_services,UK,2000+,$1M-$10M,it_director,vp,partner_referral,0,0,25000.0,0,16,10,0,20.0,2,2,7.0,B,0,156
professional_services,US,1000-1999,$50M-$200M,it_director,director,partner_referral,0,0,85000.0,0,0,0,0,,0,0,,B,0,0
manufacturing,UK,1000-1999,$10M-$50M,vp_finance,director,inbound_marketing,1,0,63002.0,14,0,6,3,20.0,1,3,0.0,C,0,190
manufacturing,US,500-999,$1M-$10M,procurement_manager,vp,inbound_marketing,1,0,25000.0,20,0,6,6,20.0,5,3,1.0,A,1,67
professional_services,UK,500-999,$10M-$50M,it_director,manager,sdr_outbound,0,0,55000.0,0,22,11,7,20.0,10,2,0.0,B,1,121
healthcare_non_clinical,US,500-999,$1M-$10M,it_director,manager,inbound_marketing,0,0,25000.0,4,0,3,1,19.0,1,0,1.0,C,0,80
healthcare_non_clinical,UK,200-499,$10M-$50M,it_director,manager,inbound_marketing,1,1,55000.0,20,0,14,2,20.0,4,4,0.0,A,1,134
healthcare_non_clinical,US,1000-1999,$50M-$200M,ap_manager,individual_contributor,inbound_marketing,1,0,85000.0,16,0,12,0,20.0,3,3,7.0,B,1,114
logistics,US,500-999,$1M-$10M,ap_manager,director,partner_referral,1,0,25000.0,0,16,6,4,18.0,4,5,4.0,C,0,14
professional_services,US,500-999,$10M-$50M,it_director,director,inbound_marketing,1,1,55000.0,20,0,8,5,20.0,4,3,0.0,A,1,200
