industry,region,company_size,company_revenue,contact_role,seniority,lead_source,opportunity_created,demo_completed,expected_acv,inbound_touches,outbound_touches,touches_week_1,touches_last_7_days,days_since_first_touch,web_sessions,sales_activities,days_since_last_touch,acquisition_wave,converted
manufacturing,UK,200-499,$10M-$50M,ap_manager,vp,inbound_marketing,0,0,,13,0,6,7,14.0,7,0,0.0,C,0
manufacturing,UK,200-499,$50M-$200M,procurement_manager,vp,inbound_marketing,0,0,85000.0,9,0,9,0,13.0,0,1,9.0,B,0
professional_services,UK,200-499,$50M-$200M,vp_finance,director,inbound_marketing,1,0,85000.0,22,0,14,8,14.0,4,2,0.0,C,0
logistics,UK,200-499,$10M-$50M,vp_finance,manager,sdr_outbound,0,0,55000.0,0,2,2,0,14.0,0,0,12.0,B,0
logistics,UK,200-499,$50M-$200M,ap_manager,manager,inbound_marketing,1,0,85000.0,12,0,10,2,13.0,2,1,2.0,C,0
professional_services,US,200-499,$200M+,vp_finance,manager,partner_referral,1,0,115818.0,0,16,14,2,14.0,3,2,4.0,C,0
healthcare_non_clinical,US,500-999,$1M-$10M,it_director,individual_contributor,partner_referral,0,0,25000.0,0,8,6,2,13.0,3,0,4.0,B,0
manufacturing,UK,200-499,$50M-$200M,vp_finance,,partner_referral,0,0,85000.0,0,10,5,5,,2,1,1.0,A,0
professional_services,US,500-999,$1M-$10M,procurement_manager,individual_contributor,sdr_outbound,0,0,25000.0,0,9,5,4,13.0,3,0,,C,0
logistics,UK,500-999,$10M-$50M,procurement_manager,manager,sdr_outbound,1,0,52232.0,0,15,9,6,14.0,3,3,1.0,A,0
logistics,UK,500-999,$10M-$50M,ap_manager,individual_contributor,sdr_outbound,0,0,55000.0,0,1,1,0,13.0,1,1,13.0,A,0
manufacturing,US,200-499,$1M-$10M,procurement_manager,individual_contributor,inbound_marketing,0,0,25000.0,17,0,10,7,14.0,2,3,0.0,A,0
professional_services,US,2000+,$10M-$50M,vp_finance,manager,inbound_marketing,0,0,55000.0,7,0,7,0,13.0,1,0,8.0,B,0
logistics,UK,200-499,$10M-$50M,vp_finance,director,inbound_marketing,1,0,55000.0,14,0,10,4,14.0,3,1,0.0,C,0
logistics,UK,500-999,$10M-$50M,procurement_manager,individual_contributor,inbound_marketing,0,0,55000.0,17,0,13,4,14.0,0,0,1.0,C,0
logistics,UK,500-999,$10M-$50M,vp_finance,manager,sdr_outbound,0,0,55000.0,0,18,15,3,14.0,4,4,1.0,A,0
logistics,US,500-999,$1M-$10M,procurement_manager,director,inbound_marketing,0,0,25000.0,8,0,7,1,13.0,1,1,1.0,B,0
manufacturing,US,2000+,$50M-$200M,it_director,manager,inbound_marketing,0,0,85000.0,26,0,15,11,14.0,2,1,0.0,C,0
manufacturing,UK,1000-1999,$200M+,ap_manager,individual_contributor,sdr_outbound,1,0,116709.0,0,14,10,4,14.0,4,3,0.0,A,1
healthcare_non_clinical,US,500-999,$10M-$50M,procurement_manager,manager,sdr_outbound,0,0,55000.0,0,13,8,5,14.0,2,0,0.0,A,0
